"PPLOT","SPLOT","ht_mean","ht_med","ht_dev","dbh_mean","dbh_med","dbh_dev","cod","dom","count","time"
4,1,17.1,17.1,NA,45,45,NA,0,1,1,86
4,1,NA,NA,NA,NA,NA,NA,0,0,0,87
4,1,15.530324057,15.530324057,NA,46.8,46.8,NA,0,1,1,98
4,1,10.415,10.415,4.23556961930742,28.55,28.55,0.777817459305203,2,0,2,10
4,2,15.8,15.75,2.78687399547713,28.05,27.55,3.14801524773944,3,1,4,86
4,2,NA,NA,NA,NA,NA,NA,0,0,0,87
4,2,15.82663344775,14.798292825,3.22134298983502,30.85,29.8,3.20572404717977,2,2,4,98
4,2,16.1233333333333,15.88,2.70322646726709,33.9333333333333,32.9,3.08274769213008,1,2,3,10
4,3,14.2857142857143,14.4,1.11867268288296,21.1285714285714,19.7,4.97316608936208,5,2,7,86
4,3,NA,NA,NA,NA,NA,NA,0,0,0,87
4,3,16.195805235,15.6,0.84179767254415,26.68,24.3,4.55049447862537,2,3,5,98
4,3,17.0633333333333,18.02,2.38361769865332,26.6,25.5,8.30481787879782,2,1,3,10
4,4,12.14,12.4,2.30104324166236,27.5666666666667,21.3,16.9900951537457,1,2,3,86
4,4,NA,NA,NA,NA,NA,NA,0,0,0,87
4,4,12.4333333333333,12.3,1.4047538337137,31.3333333333333,24.5,14.9694132594879,2,1,3,98
4,4,8.59,8.03,3.52353515662892,32.8,25.1,13.5974262270475,3,0,3,10
5,1,14.225,14.4,1.61322658049017,25.6,27.1,10.1495484300206,2,2,4,86
5,1,NA,NA,NA,NA,NA,NA,0,0,0,87
5,1,15.717467584,15.855913066,1.45046298173499,32.4333333333333,33,6.26923706150384,3,0,3,98
5,1,15.45,15.45,NA,40,40,NA,1,0,1,10
5,2,12.7111111111111,12.6,1.52023390013218,17.3444444444444,16.8,5.29459892511017,7,2,9,86
5,2,NA,NA,NA,NA,NA,NA,0,0,0,87
5,2,14.68127456,13.900275739,1.44443065728378,21.9142857142857,22.2,4.80361966695552,6,1,7,98
5,2,16.048,15.86,1.25016798871192,26.92,27.3,4.51685731454958,4,1,5,10
5,3,12.5475,12.6,2.95325103346577,23.35,24.8,8.27868749661845,2,2,4,86
5,3,NA,NA,NA,NA,NA,NA,0,0,0,87
5,3,14.782716153,14.782716153,4.64246170499383,23.5,23.5,9.19238815542512,1,1,2,98
5,3,15.15,15.15,3.18198051533946,28.25,28.25,5.58614357137373,1,1,2,10
5,4,16,15.3,1.57162336455017,28.5333333333333,29.2,10.3161685394013,2,1,3,86
5,4,NA,NA,NA,NA,NA,NA,0,0,0,87
5,4,16.174235518,15.783424192,2.54296141548577,28.05,25.05,10.5459312849395,3,1,4,98
5,4,17.1,17.1,4.38406204335659,32.9,32.9,17.819090885901,2,0,2,10
6,1,14.3111111111111,14.7,2.10085961242324,25.3222222222222,22.7,10.4633620048455,5,4,9,86
6,1,NA,NA,NA,NA,NA,NA,0,0,0,87
6,1,12.7666666666667,13.5,1.35769412362775,24.2,20.6,9.43027040969664,2,1,3,98
6,1,15.85,15.75,0.465474668125631,37,32.65,15.899475882347,3,1,4,10
